"soil","rdm_mean","rdm_sd","rdm_n"
"Kc",1069.33333333333,677.529960110139,75
"SuD",1683.69565217391,1316.98537694683,46
"TfD",1325.60975609756,967.801758575815,41
"TgD",1472.4513618677,1646.92582421816,257
"TgE",2160,1499.39068084109,30
"ThE",1526.75,1351.09184862358,200
"ToE",965,386.616376039896,10
"TuB",768.208333333333,627.471947007776,240
"Txc",941.875,707.17139123573,80
