"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.295670332452334,0.235252033042098,74,-1.25682370787173,0.959896397913781
"1997 - 1999",-0.00634461551068056,0.235252033042099,74,-0.0269694396628027,1
"1997 - 2000",-0.00350794622464513,0.203734236906394,74,-0.017218246073471,1
"1997 - 2001",0.109986689078858,0.203734236906393,74,0.539853736656899,0.999934443178559
"1997 - 2002",0.00241313418519155,0.203734236906393,74,0.0118445197127093,1
"1997 - 2003",0.439672426407122,0.203734236906393,74,2.15806843799715,0.494093902609102
"1997 - 2004",0.197199982695216,0.203734236906394,74,0.967927559400928,0.993206760842844
"1997 - 2005",-0.115303318954521,0.203734236906393,74,-0.565949644523901,0.999902533690806
"1997 - 2014",-0.138770153783072,0.207472791617247,74,-0.668859529489917,0.999612558708238
"1998 - 1999",0.289325716941653,0.235252033042098,74,1.22985426820893,0.965024575779768
"1998 - 2000",0.292162386227689,0.203734236906393,74,1.43403676605383,0.912326750666159
"1998 - 2001",0.405657021531192,0.203734236906393,74,1.9911087487842,0.60781231318354
"1998 - 2002",0.298083466637525,0.203734236906393,74,1.46309953184001,0.902044851510366
"1998 - 2003",0.735342758859455,0.203734236906393,74,3.60932345012445,0.0186075107037647
"1998 - 2004",0.49287031514755,0.203734236906393,74,2.41918257152823,0.329951448717611
"1998 - 2005",0.180367013497812,0.203734236906393,74,0.885305367603399,0.996491658321423
"1998 - 2014",0.156900178669262,0.207472791617247,74,0.756244601743812,0.99896199970293
"1999 - 2000",0.00283666928603543,0.203734236906393,74,0.013923380424954,1
"1999 - 2001",0.116331304589539,0.203734236906393,74,0.570995363155324,0.999895018980273
"1999 - 2002",0.00875774969587211,0.203734236906393,74,0.0429861462111344,1
"1999 - 2003",0.446017041917802,0.203734236906393,74,2.18921006449557,0.473249290019386
"1999 - 2004",0.203544598205896,0.203734236906393,74,0.999069185899353,0.991461349842669
"1999 - 2005",-0.108958703443841,0.203734236906393,74,-0.534808018025475,0.999939434524046
"1999 - 2014",-0.132425538272391,0.207472791617247,74,-0.638279059341401,0.999735700527212
"2000 - 2001",0.113494635303504,0.166348307851989,74,0.682271053844965,0.999544796679294
"2000 - 2002",0.00592108040983668,0.166348307851989,74,0.0355944733450793,1
"2000 - 2003",0.443180372631767,0.166348307851989,74,2.66417121012191,0.20778151922322
"2000 - 2004",0.200707928919861,0.166348307851989,74,1.20655227282771,0.96905481162729
"2000 - 2005",-0.111795372729876,0.166348307851989,74,-0.672055966023698,0.999597243972039
"2000 - 2014",-0.135262207558427,0.1709066397155,74,-0.791439161074089,0.998515894357063
"2001 - 2002",-0.107573554893667,0.166348307851989,74,-0.646676580499886,0.999705801019874
"2001 - 2003",0.329685737328263,0.166348307851989,74,1.98190015627695,0.614070112864635
"2001 - 2004",0.0872132936163576,0.166348307851989,74,0.524281218982743,0.999948799034979
"2001 - 2005",-0.22529000803338,0.166348307851989,74,-1.35432701986866,0.936852813312534
"2001 - 2014",-0.24875684286193,0.1709066397155,74,-1.45551304078077,0.90479871340779
"2002 - 2003",0.43725929222193,0.16634830785199,74,2.62857673677683,0.223283375131328
"2002 - 2004",0.194786848510024,0.166348307851989,74,1.17095779948263,0.974534284631002
"2002 - 2005",-0.117716453139713,0.166348307851989,74,-0.707650439368778,0.999388765821592
"2002 - 2014",-0.141183287968263,0.1709066397155,74,-0.826084277376727,0.99793047960043
"2003 - 2004",-0.242472443711906,0.16634830785199,74,-1.4576189372942,0.904039240094142
"2003 - 2005",-0.554975745361643,0.166348307851989,74,-3.33622717614561,0.0408518342184963
"2003 - 2014",-0.578442580190193,0.1709066397155,74,-3.38455300012393,0.0357121824182252
"2004 - 2005",-0.312503301649737,0.166348307851989,74,-1.87860823885141,0.683028755133181
"2004 - 2014",-0.335970136478288,0.1709066397155,74,-1.96581090727406,0.624973084830337
"2005 - 2014",-0.0234668348285502,0.1709066397155,74,-0.137307917747458,0.999999999617104
