"year","rdm_mean","rdm_sd","rdm_n"
1997,1721.66666666667,2574.72010436459,60
1998,1887.5,1839.45978160317,60
1999,2024,1920.73115330212,50
2000,1267.63636363636,1033.70974159007,110
2001,1521.66666666667,947.303411532652,120
2002,1055.83333333333,769.431289852396,120
2003,727.727272727273,407.700328629952,110
2004,887.083333333333,532.060203571071,120
2005,1711.81818181818,1326.11260665825,110
2014,744.957983193277,625.326862257096,119
