"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",0.00377031765096934,0.189703586982268,75,0.019874783133762,1
"1997 - 1999",-0.0294658070690517,0.189703586982269,75,-0.15532551354343,0.999999998847673
"1997 - 2000",0.0605999196291047,0.164288125515675,75,0.368863662172119,0.999997525035466
"1997 - 2001",0.126234463692614,0.164288125515675,75,0.768372414600162,0.998825364985141
"1997 - 2002",0.171929210795261,0.164288125515675,75,1.04651027124208,0.988151539055244
"1997 - 2003",0.373275050755937,0.164288125515676,75,2.27207565722893,0.41898358879929
"1997 - 2004",0.389767046591903,0.164288125515675,75,2.37246024548934,0.356965445698502
"1997 - 2005",-0.105363274289388,0.164288125515675,75,-0.641332256720741,0.999725721357673
"1997 - 2014",0.310788674920539,0.164288125515675,75,1.89172938667978,0.674440141864247
"1998 - 1999",-0.033236124720021,0.189703586982269,75,-0.175200296677192,0.999999996616721
"1998 - 2000",0.0568296019781353,0.164288125515675,75,0.345914239387393,0.999998588814714
"1998 - 2001",0.122464146041645,0.164288125515676,75,0.745422991815435,0.999075790804516
"1998 - 2002",0.168158893144292,0.164288125515675,75,1.02356084845735,0.989866478345469
"1998 - 2003",0.369504733104968,0.164288125515676,75,2.2491262344442,0.43375151405693
"1998 - 2004",0.385996728940933,0.164288125515676,75,2.34951082270461,0.370737802205101
"1998 - 2005",-0.109133591940358,0.164288125515676,75,-0.664281679505466,0.99963438053917
"1998 - 2014",0.30701835726957,0.164288125515676,75,1.86877996389505,0.689435196051745
"1999 - 2000",0.0900657266981564,0.164288125515676,75,0.54821811628475,0.999925549836469
"1999 - 2001",0.155700270761666,0.164288125515676,75,0.947726868712792,0.994185780860375
"1999 - 2002",0.201395017864313,0.164288125515676,75,1.2258647253547,0.965775461599
"1999 - 2003",0.402740857824989,0.164288125515676,75,2.45143011134156,0.311651191728064
"1999 - 2004",0.419232853660954,0.164288125515676,75,2.55181469960197,0.259122826146059
"1999 - 2005",-0.0758974672203368,0.164288125515676,75,-0.461977802608107,0.999982619144458
"1999 - 2014",0.340254481989591,0.164288125515676,75,2.0710838407924,0.553126649438023
"2000 - 2001",0.0656345440635092,0.134140692770574,75,0.489296295612297,0.999971588100768
"2000 - 2002",0.111329291166157,0.134140692770574,75,0.829944209074329,0.997858600910874
"2000 - 2003",0.312675131126832,0.134140692770574,75,2.33094913011678,0.38206144685845
"2000 - 2004",0.329167126962798,0.134140692770574,75,2.45389463975547,0.310291598715327
"2000 - 2005",-0.165963193918493,0.134140692770574,75,-1.23723227076474,0.96370842255794
"2000 - 2014",0.250188755291434,0.134140692770574,75,1.86512198590879,0.691807191472645
"2001 - 2002",0.0456947471026475,0.134140692770574,75,0.340647913462032,0.999998766371508
"2001 - 2003",0.247040587063323,0.134140692770574,75,1.84165283450448,0.706896254213977
"2001 - 2004",0.263532582899289,0.134140692770574,75,1.96459834414318,0.625771330231304
"2001 - 2005",-0.231597737982002,0.134140692770574,75,-1.72652856637704,0.776933135569189
"2001 - 2014",0.184554211227925,0.134140692770574,75,1.37582569029649,0.930811945124168
"2002 - 2003",0.201345839960676,0.134140692770574,75,1.50100492104245,0.887604488114607
"2002 - 2004",0.217837835796641,0.134140692770574,75,1.62395043068115,0.832213059276712
"2002 - 2005",-0.27729248508465,0.134140692770574,75,-2.06717647983907,0.555799552374569
"2002 - 2014",0.138859464125277,0.134140692770574,75,1.03517777683446,0.989024769946411
"2003 - 2004",0.0164919958359657,0.134140692770574,75,0.122945509638693,0.999999999858216
"2003 - 2005",-0.478638325045326,0.134140692770574,75,-3.56818140088152,0.0209187638005283
"2003 - 2014",-0.0624863758353982,0.134140692770574,75,-0.465827144207991,0.99998133735135
"2004 - 2005",-0.495130320881291,0.134140692770574,75,-3.69112691052021,0.014437350633745
"2004 - 2014",-0.0789783716713639,0.134140692770574,75,-0.588772653846685,0.99986471379004
"2005 - 2014",0.416151949209927,0.134140692770574,75,3.10235425667353,0.0757129018395925
